Model,Location,Year,Km,FuelType,Transmission,Owner,Efficiency,Engine_cc,Power_bhp,Seats,Price_US_Dollars
Maruti Ertiga Paseo VXI,Mumbai,2018,"18,000",Gasoline,Manual,First,16.02,1400,93.70,7,"$11,582 "
Honda BRV i-VTEC V CVT,Mumbai,2017,"18,000",Gasoline,Automatic,First,16.00,1400,117.30,7,"$12,986 "
Toyota Innova Crysta 2.8 GX AT 8S,Delhi,2017,"18,000",Diesel,Automatic,First,11.36,2800,171.50,8,"$25,621 "
Mini Cooper S Carbon Edition,Delhi,2012,"18,000",Gasoline,Automatic,First,13.60,1600,181.00,4,"$30,886 "
Jaguar XF 2.2 Litre Luxury,Kolkata,2014,"18,000",Diesel,Automatic,First,16.36,2200,187.70,5,"$36,080 "
Maruti Alto 800 VXI,Coimbatore,2016,"18,043",Gasoline,Manual,First,22.74,800,47.30,5,"$5,784 "
Tata Nano Twist XT,Ahmedabad,2014,"18,050",Gasoline,Manual,Second,25.40,600,37.50,4,"$1,404 "
BMW 5 Series 2003-2012 530d,Coimbatore,2016,"18,090",Diesel,Automatic,First,16.20,3000,258.00,5,"$64,200 "
Maruti Swift VXI,Coimbatore,2016,"18,094",Gasoline,Manual,Second,18.60,1200,85.80,5,"$8,788 "
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,"18,108",Diesel,Manual,First,24.30,1200,88.50,5,"$15,878 "
Renault KWID 1.0 RXT Optional,Kochi,2018,"18,335",Gasoline,Manual,First,21.70,1000,67.00,5,"$6,318 "
Tata Nano XTA,Coimbatore,2017,"18,351",Gasoline,Automatic,First,21.90,600,37.48,4,"$4,787 "
BMW 5 Series 520d Sport Line,Kochi,2019,"18,373",Diesel,Automatic,First,22.48,2000,187.74,5,"$64,383 "
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,"18,385",Gasoline,Automatic,First,14.80,1400,121.36,5,"$17,422 "
Maruti Swift Dzire VDI,Mumbai,2017,"18,414",Diesel,Manual,First,23.40,1200,74.00,5,"$10,178 "
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,"18,453",Gasoline,Manual,First,18.90,1200,81.86,5,"$8,662 "
Volkswagen Ameo 1.2 MPI Comfortline,Hyderabad,2016,"18,456",Gasoline,Manual,First,17.00,1200,73.75,5,"$8,072 "
Maruti Alto K10 VXI AGS,Jaipur,2017,"18,491",Gasoline,Automatic,First,24.07,1000,67.10,5,"$5,475 "
Maruti Celerio VXI AT,Chennai,2014,"18,500",Gasoline,Automatic,First,23.10,1000,67.04,5,"$5,545 "
Volkswagen Polo 1.2 MPI Highline Plus,Hyderabad,2017,"18,500",Gasoline,Manual,First,16.20,1200,74.00,5,"$8,774 "
Hyundai i20 1.4 Sportz,Coimbatore,2018,"18,521",Diesel,Manual,First,22.54,1400,88.73,5,"$12,888 "
Hyundai Elite i20 Petrol Asta,Kochi,2018,"18,553",Gasoline,Manual,First,18.60,1200,81.86,5,"$11,133 "
Maruti Swift Dzire VDI Optional,Kochi,2019,"18,592",Diesel,Manual,First,26.59,1200,74.00,5,"$11,947 "
BMW 3 Series 320d Luxury Line,Mumbai,2014,"18,600",Diesel,Automatic,Second,22.69,2000,190.00,5,"$29,482 "
Honda Jazz 1.2 SV i VTEC,Kochi,2018,"18,664",Gasoline,Manual,First,18.70,1200,88.70,5,"$10,614 "
Hyundai i20 1.2 Spotz,Mumbai,2017,"18,673",Gasoline,Manual,First,18.60,1200,81.83,5,"$8,732 "
Maruti Baleno RS 1.0 Petrol,Kochi,2018,"18,678",Gasoline,Manual,First,21.10,1000,100.00,5,"$11,680 "
Maruti Alto LXi,Kolkata,2007,"18,700",Gasoline,Manual,Second,19.70,800,46.30,5,"$1,755 "
Fiat Avventura MULTIJET Emotion,Coimbatore,2018,"18,705",Diesel,Manual,First,20.50,1200,91.72,5,"$10,824 "
Honda Amaze S i-VTEC,Jaipur,2014,"18,776",Gasoline,Manual,First,17.80,1200,86.70,5,"$6,669 "
Honda Amaze SX i-VTEC,Mumbai,2016,"18,949",Gasoline,Manual,First,17.80,1200,86.70,5,"$7,020 "
Honda City i-VTEC CVT VX,Bangalore,2015,"18,955",Gasoline,Automatic,First,18.00,1400,117.30,5,"$14,952 "
Datsun GO T Option,Hyderabad,2016,"19,000",Gasoline,Manual,First,20.63,1200,67.00,5,"$4,198 "
Hyundai EON Magna Plus,Hyderabad,2015,"19,000",Gasoline,Manual,First,21.10,800,55.20,5,"$4,212 "
Honda Amaze S AT i-Vtech,Mumbai,2014,"19,000",Gasoline,Automatic,First,15.50,1200,86.70,5,"$6,669 "
Volkswagen Polo 1.2 MPI Comfortline,Mumbai,2017,"19,000",Gasoline,Manual,First,16.20,1200,74.00,5,"$6,949 "
Maruti Swift Dzire VXI,Mumbai,2015,"19,000",Gasoline,Manual,First,20.85,1200,83.14,5,"$7,370 "
Hyundai Verna 1.4 CX VTVT,Kolkata,2014,"19,000",Gasoline,Manual,First,17.43,1400,105.50,5,"$7,370 "
Maruti Swift ZXI,Mumbai,2016,"19,000",Gasoline,Manual,First,20.40,1200,81.80,5,"$7,792 "
Maruti Ignis 1.3 Zeta,Mumbai,2017,"19,000",Diesel,Manual,First,26.80,1200,74.00,5,"$8,297 "
Honda Amaze VX AT i-Vtech,Delhi,2016,"19,000",Gasoline,Automatic,First,15.50,1200,86.70,5,"$8,774 "
Hyundai i20 1.2 Asta Option,Bangalore,2016,"19,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$10,178 "
Maruti Dzire AMT ZDI Plus,Chennai,2017,"19,000",Diesel,Automatic,First,28.40,1200,73.75,5,"$12,495 "
Honda City i-VTEC CVT VX,Mumbai,2015,"19,000",Gasoline,Automatic,First,18.00,1400,117.30,5,"$12,565 "
Mahindra Thar CRDe,Jaipur,2016,"19,000",Diesel,Manual,First,16.55,2400,105.00,6,"$12,986 "
Volkswagen Vento 1.5 TDI Highline AT,Pune,2016,"19,000",Diesel,Automatic,First,21.50,1400,108.50,5,"$14,039 "
Skoda Superb Style 2.0 TDI AT,Mumbai,2015,"19,000",Diesel,Automatic,First,18.19,2000,174.50,5,"$21,760 "
BMW 3 Series Sport,Mumbai,2016,"19,000",Diesel,Automatic,Second,21.76,2000,190.00,5,"$42,103 "
Jaguar XF 2.2 Litre Executive,Bangalore,2015,"19,000",Diesel,Automatic,Second,16.36,2200,187.70,5,"$53,348 "
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,"19,000",Diesel,Automatic,First,15.97,3000,258.00,7,"$61,772 "
Hyundai i20 1.2 Sportz,Kolkata,2016,"19,008",Gasoline,Manual,First,17.00,1200,80.00,5,"$7,370 "
Volkswagen Polo Petrol Highline 1.2L,Pune,2012,"19,030",Gasoline,Manual,First,16.47,1200,73.90,5,"$5,335 "
Maruti Wagon R VXI,Mumbai,2010,"19,119",Gasoline,Manual,First,18.90,1000,67.10,5,"$3,791 "
Maruti Swift VXi BSIV,Kochi,2016,"19,148",Gasoline,Manual,First,16.10,1200,85.00,5,"$8,269 "
Hyundai Grand i10 AT Asta,Coimbatore,2017,"19,168",Gasoline,Automatic,First,18.90,1200,82.00,5,"$9,729 "
Maruti Ertiga VXI CNG,Mumbai,2017,"19,234",CNG,Manual,First,17.50,1400,80.46,7,"$11,723 "
BMW 3 Series Luxury Line,Bangalore,2016,"19,235",Diesel,Automatic,First,21.76,2000,190.00,5,"$51,242 "
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,"19,254",Diesel,Automatic,First,14.69,3000,258.00,5,"$66,966 "
Toyota Fortuner 4x2 MT TRD Sportivo,Hyderabad,2015,"19,317",Diesel,Manual,First,13.00,3000,168.70,7,"$34,396 "
Hyundai Verna 1.6 SX VTVT (O),Kochi,2017,"19,387",Gasoline,Manual,First,17.10,1600,121.30,5,"$11,821 "
Maruti Ciaz Alpha,Mumbai,2017,"19,416",Gasoline,Manual,First,21.56,1400,103.25,5,"$11,582 "
Hyundai Grand i10 Era,Kolkata,2014,"19,500",Gasoline,Manual,Second,18.90,1200,82.00,5,"$4,001 "
Hyundai i20 Magna 1.2,Mumbai,2018,"19,500",Gasoline,Manual,First,18.60,1200,81.83,5,"$8,213 "
BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2017,"19,543",Diesel,Automatic,First,18.12,2000,190.00,5,"$56,858 "
Skoda Rapid 1.6 MPI Elegance Black Package,Mumbai,2015,"19,600",Gasoline,Manual,First,15.00,1600,103.52,5,"$8,634 "
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,"19,623",Gasoline,Manual,First,15.29,1600,121.30,5,"$18,419 "
Mahindra XUV500 W9 AT,Coimbatore,2019,"19,654",Diesel,Automatic,First,14.00,2200,155.00,7,"$24,751 "
BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,"19,658",Diesel,Automatic,First,18.12,2000,190.00,5,"$50,316 "
Tata Nano LX SE,Kochi,2014,"19,698",Gasoline,Manual,First,25.40,600,37.50,4,"$2,148 "
Porsche Panamera Diesel,Bangalore,2013,"19,828",Diesel,Automatic,Second,17.85,3000,300.00,4,"$105,293 "
Maruti Alto 800 2016-2019 VXI,Kochi,2019,"19,855",Gasoline,Manual,First,24.70,800,47.30,5,"$5,335 "
Hyundai i20 Asta Option 1.2,Hyderabad,2017,"19,860",Gasoline,Manual,First,18.60,1200,81.83,5,"$9,757 "
Mercedes-Benz GLE 350d,Mumbai,2017,"19,863",Diesel,Automatic,First,11.57,3000,254.79,5,"$91,183 "
Hyundai i10 Sportz,Hyderabad,2016,"19,947",Gasoline,Manual,First,20.36,1200,78.90,5,"$6,318 "
Hyundai Grand i10 Sportz,Kochi,2016,"19,947",Gasoline,Manual,First,18.90,1200,82.00,5,"$7,076 "
Tata Nano Twist XT,Coimbatore,2015,"19,963",Gasoline,Manual,Second,25.40,600,37.50,4,"$2,443 "
Hyundai EON Magna Plus,Hyderabad,2013,"20,000",Gasoline,Manual,Second,21.10,800,55.20,5,"$3,229 "
Hyundai EON D Lite Plus,Ahmedabad,2015,"20,000",Gasoline,Manual,First,21.10,800,55.20,5,"$3,734 "
Volkswagen Polo Petrol Highline 1.2L,Mumbai,2011,"20,000",Gasoline,Manual,First,16.47,1200,73.90,5,"$4,914 "
Hyundai i10 Sportz,Mumbai,2015,"20,000",Gasoline,Manual,First,20.36,1200,78.90,5,"$5,265 "
Hyundai Grand i10 Sportz,Mumbai,2015,"20,000",Gasoline,Manual,First,18.90,1200,82.00,5,"$5,405 "
Maruti Alto K10 VXI AGS,Ahmedabad,2017,"20,000",Gasoline,Automatic,First,24.07,1000,67.10,5,"$5,616 "
Maruti Eeco 5 STR With AC Plus HTR CNG,Mumbai,2018,"20,000",CNG,Manual,First,15.10,1200,73.00,5,"$6,318 "
Honda Amaze S i-DTEC,Ahmedabad,2014,"20,000",Diesel,Manual,Second,25.80,1400,98.60,5,"$6,318 "
Maruti Celerio VXI AT Optional,Pune,2017,"20,000",Gasoline,Automatic,First,23.10,1000,67.04,5,"$6,598 "
Tata Sumo DX,Mumbai,2013,"20,000",Diesel,Manual,First,14.07,2000,83.10,10,"$7,370 "
Volkswagen Ameo 1.2 MPI Anniversary Edition,Pune,2018,"20,000",Gasoline,Manual,First,17.00,1200,74.00,5,"$7,721 "
Maruti Baleno Zeta CVT,Kolkata,2016,"20,000",Gasoline,Automatic,First,21.40,1200,83.10,5,"$8,058 "
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,"20,000",Gasoline,Manual,First,18.90,1200,81.86,5,"$8,395 "
Honda Brio 1.2 VX AT,Mumbai,2017,"20,000",Gasoline,Automatic,First,16.50,1200,86.80,5,"$8,409 "
Renault Duster Petrol RxL,Pune,2013,"20,000",Gasoline,Manual,First,13.24,1600,102.57,5,"$8,423 "
Volkswagen Ameo 1.5 TDI Highline,Pune,2016,"20,000",Diesel,Manual,First,21.66,1400,108.62,5,"$9,476 "
Ford EcoSport 1.5 TDCi Trend Plus,Chennai,2016,"20,000",Diesel,Manual,First,22.77,1400,98.59,5,"$11,091 "
Maruti Baleno Delta 1.3,Hyderabad,2017,"20,000",Diesel,Manual,First,27.39,1200,74.00,5,"$11,933 "
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,"20,000",Diesel,Manual,First,24.30,1200,88.50,5,"$12,635 "
Volvo S60 D3,Chennai,2012,"20,000",Diesel,Automatic,First,18.50,2000,163.00,5,"$16,847 "
Toyota Innova Crysta 2.4 G MT 8S,Mumbai,2017,"20,000",Diesel,Manual,First,13.68,2400,147.80,8,"$23,164 "
Mini Cooper 3 DOOR D,Mumbai,2016,"20,000",Diesel,Automatic,First,20.70,1400,113.98,4,"$32,992 "
Mini Cooper Convertible 1.6,Bangalore,2015,"20,000",Gasoline,Automatic,First,18.86,1600,122.00,4,"$44,925 "
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,2016,"20,000",Diesel,Automatic,First,19.27,2200,170.00,5,"$46,329 "
Audi A6 35 TDI Matrix,Chennai,2015,"20,000",Diesel,Automatic,First,18.53,2000,187.74,5,"$49,839 "
Audi Q7 45 TDI Quattro Technology,Mumbai,2016,"20,002",Diesel,Automatic,First,14.75,3000,245.00,7,"$94,061 "
Audi A3 35 TDI Premium,Mumbai,2016,"20,003",Diesel,Automatic,First,20.38,2000,143.00,5,"$27,025 "
BMW 6 Series Gran Coupe,Kochi,2018,"20,004",Diesel,Automatic,First,17.54,3000,313.00,4,"$96,785 "
Honda Jazz VX,Kochi,2018,"20,024",Gasoline,Manual,First,18.20,1200,88.70,5,"$11,877 "
Honda Jazz 1.2 V CVT i VTEC,Coimbatore,2018,"20,026",Gasoline,Automatic,First,19.00,1200,88.70,5,"$13,014 "
Hyundai i20 1.2 Asta with AVN,Coimbatore,2015,"20,045",Gasoline,Manual,First,17.00,1200,80.00,5,"$8,732 "
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Bangalore,2017,"20,149",Diesel,Automatic,First,19.27,2200,167.62,5,"$54,050 "
Renault KWID RXT,Bangalore,2016,"20,229",Gasoline,Manual,First,25.17,800,53.30,5,"$4,914 "
Maruti Ritz VDi,Pune,2013,"20,248",Diesel,Manual,First,21.10,1200,73.90,5,"$6,107 "
Honda City i-VTEC CVT ZX,Coimbatore,2018,"20,300",Gasoline,Automatic,First,18.00,1400,117.30,5,"$19,949 "
Toyota Innova Crysta 2.8 GX AT,Pune,2018,"20,300",Diesel,Automatic,First,11.36,2800,171.50,7,"$25,270 "
Volkswagen Polo GT TSI,Mumbai,2014,"20,364",Gasoline,Automatic,Second,17.21,1200,103.60,5,"$7,300 "
ISUZU D-MAX V-Cross 4X4,Coimbatore,2018,"20,422",Diesel,Manual,First,12.40,2400,134.00,5,"$22,589 "
Mercedes-Benz E-Class E 220 d,Kochi,2018,"20,446",Gasoline,Automatic,First,12.60,2000,191.34,5,"$72,090 "
Mini Cooper Convertible S,Kochi,2017,"20,469",Gasoline,Automatic,First,16.82,2000,189.08,4,"$50,512 "
Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,"20,483",Diesel,Automatic,First,17.90,2200,136.00,5,"$42,538 "
Datsun redi-GO T Option,Bangalore,2016,"20,487",Gasoline,Manual,First,22.70,800,53.64,5,"$3,734 "
Volkswagen Vento 1.6 Comfortline,Kochi,2018,"20,488",Gasoline,Manual,Second,16.09,1600,103.50,5,"$10,726 "
Hyundai Grand i10 Asta,Coimbatore,2018,"20,492",Gasoline,Manual,First,18.90,1200,82.00,5,"$8,901 "
Honda Jazz 1.2 V i VTEC,Mumbai,2015,"20,568",Gasoline,Manual,First,18.70,1200,88.70,5,"$7,862 "
Maruti Zen Estilo LXI BS IV,Pune,2011,"20,575",Gasoline,Manual,First,19.00,1000,67.10,5,"$2,808 "
Hyundai EON D Lite,Hyderabad,2014,"20,600",Gasoline,Manual,First,21.10,800,55.20,5,"$3,650 "
Hyundai i20 2015-2017 Magna 1.2,Pune,2016,"20,600",Gasoline,Manual,First,18.60,1200,81.83,5,"$7,581 "
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,"20,604",Diesel,Automatic,First,19.27,2200,167.62,5,"$55,623 "
Hyundai i20 1.2 Spotz,Coimbatore,2018,"20,632",Gasoline,Manual,First,18.60,1200,81.83,5,"$10,642 "
Maruti Swift VXI,Kochi,2019,"20,667",Gasoline,Manual,First,22.00,1200,81.80,5,"$8,943 "
Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,"20,667",Gasoline,Automatic,First,18.90,1200,81.86,5,"$10,599 "
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,"20,689",Gasoline,Manual,First,18.90,1200,81.86,5,"$8,522 "
Tata Tiago 1.2 Revotron XZ,Coimbatore,2019,"20,712",Gasoline,Manual,First,23.84,1200,84.00,5,"$9,743 "
Skoda Rapid 1.6 MPI Active,Ahmedabad,2015,"20,765",Gasoline,Manual,First,15.00,1600,103.52,5,"$8,774 "
Hyundai Grand i10 1.2 CRDi Sportz,Kochi,2017,"20,773",Diesel,Manual,First,24.00,1200,73.97,5,"$8,311 "
Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,"20,780",Gasoline,Manual,First,18.90,1200,81.86,5,"$6,037 "
Toyota Innova Crysta 2.8 GX AT,Kochi,2017,"20,789",Diesel,Automatic,First,11.36,2800,171.50,7,"$25,776 "
Hyundai EON Magna Plus,Kolkata,2015,"20,800",Gasoline,Manual,Second,21.10,800,55.20,5,"$3,159 "
Skoda Rapid 1.6 MPI AT Ambition Plus Alloy,Coimbatore,2015,"20,826",Gasoline,Automatic,First,14.30,1600,103.60,5,"$10,838 "
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,"20,877",Gasoline,Manual,First,18.16,1200,78.90,5,"$10,206 "
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,"20,967",Diesel,Automatic,First,14.69,3000,258.00,5,"$62,558 "
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,"20,969",Diesel,Automatic,First,17.90,2200,136.00,5,"$39,127 "
Chevrolet Spark 1.0 LS,Kolkata,2011,"21,000",Gasoline,Manual,Second,18.00,1000,62.00,5,"$1,334 "
Hyundai i10 Magna,Kolkata,2013,"21,000",Gasoline,Manual,First,20.36,1200,78.90,5,"$3,299 "
Hyundai i10 Magna AT,Mumbai,2009,"21,000",Gasoline,Automatic,First,19.20,1200,80.00,5,"$3,650 "
Maruti Alto 800 LXI,Chennai,2015,"21,000",Gasoline,Manual,First,22.74,800,47.30,5,"$3,917 "
Maruti Celerio ZXI,Mumbai,2014,"21,000",Gasoline,Manual,First,23.10,1000,67.04,5,"$5,265 "
Hyundai Grand i10 Magna,Kolkata,2016,"21,000",Gasoline,Manual,First,18.90,1200,82.00,5,"$5,265 "
Hyundai Grand i10 Magna,Pune,2015,"21,000",Gasoline,Manual,First,18.90,1200,82.00,5,"$5,265 "
Hyundai i10 Sportz AT,Chennai,2013,"21,000",Gasoline,Automatic,First,16.95,1200,78.90,5,"$5,559 "
Volkswagen Vento Petrol Highline AT,Mumbai,2013,"21,000",Gasoline,Automatic,Second,14.40,1600,103.60,5,"$6,247 "
Honda Amaze VX Petrol,Mumbai,2014,"21,000",Gasoline,Manual,First,19.50,1200,86.76,5,"$6,669 "
Hyundai i20 Magna 1.2,Delhi,2015,"21,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$6,879 "
Hyundai Grand i10 AT Asta,Bangalore,2014,"21,000",Gasoline,Automatic,First,18.90,1200,82.00,5,"$7,581 "
Hyundai Grand i10 AT Asta,Hyderabad,2016,"21,000",Gasoline,Automatic,First,18.90,1200,82.00,5,"$8,704 "
Maruti Baleno Zeta 1.2,Delhi,2016,"21,000",Gasoline,Manual,First,21.40,1200,83.10,5,"$8,718 "
Hyundai i20 Asta Option 1.2,Pune,2016,"21,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$8,845 "
Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,"21,000",Gasoline,Automatic,First,19.00,1200,88.70,5,"$8,915 "
Skoda Octavia Ambition 1.4 TSI MT,Mumbai,2013,"21,000",Gasoline,Manual,First,16.80,1400,138.02,5,"$12,284 "
Hyundai Creta 1.6 SX,Ahmedabad,2016,"21,000",Gasoline,Manual,First,15.80,1600,121.30,5,"$15,303 "
Mahindra XUV500 AT W10 FWD,Delhi,2017,"21,000",Diesel,Automatic,First,16.00,2200,140.00,7,"$23,164 "
Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,"21,000",Gasoline,Automatic,First,14.28,1800,138.03,5,"$25,270 "
Mini Cooper 3 DOOR S,Mumbai,2013,"21,000",Gasoline,Automatic,First,17.44,2000,189.08,4,"$30,184 "
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2013,"21,000",Diesel,Automatic,First,14.84,2200,170.00,5,"$32,992 "
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,"21,000",Diesel,Automatic,First,17.11,2000,174.33,5,"$34,396 "
BMW X1 sDrive 20d Sportline,Chennai,2016,"21,000",Diesel,Automatic,First,17.05,2000,184.00,5,"$46,329 "
BMW 3 Series Luxury Line,Bangalore,2017,"21,000",Diesel,Automatic,First,21.76,2000,190.00,5,"$49,137 "
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mumbai,2016,"21,000",Diesel,Automatic,First,13.00,2200,204.00,5,"$50,541 "
BMW 6 Series Gran Coupe,Delhi,2013,"21,000",Diesel,Automatic,Second,17.54,3000,313.00,4,"$61,772 "
Audi Q7 35 TDI Quattro Technology,Bangalore,2015,"21,000",Diesel,Automatic,First,12.07,3000,241.40,7,"$67,387 "
Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,"21,000",Diesel,Automatic,First,19.33,2000,177.00,5,"$73,003 "
Audi Q7 35 TDI Quattro Technology,Bangalore,2015,"21,000",Diesel,Automatic,Second,12.07,3000,241.40,7,"$73,705 "
BMW X5 xDrive 30d M Sport,Chennai,2017,"21,000",Diesel,Automatic,Second,15.97,3000,258.00,5,"$77,215 "
Mercedes-Benz GLE 250d,Mumbai,2016,"21,000",Diesel,Automatic,First,17.90,2200,201.15,5,"$78,619 "
Maruti Wagon R LXI,Ahmedabad,2010,"21,002",Gasoline,Manual,First,22.50,1000,67.04,5,"$3,861 "
Hyundai Verna 1.6 SX VTVT (O),Pune,2013,"21,107",Gasoline,Manual,First,17.10,1600,121.30,5,"$7,370 "
Mini Cooper 3 DOOR S,Kochi,2016,"21,110",Gasoline,Automatic,First,17.44,2000,189.08,4,"$40,643 "
Maruti Eeco 5 STR With AC Plus HTR CNG,Kochi,2019,"21,112",CNG,Manual,First,15.10,1200,73.00,5,"$7,553 "
Hyundai Elite i20 Asta Option,Coimbatore,2019,"21,134",Gasoline,Manual,First,18.60,1200,81.86,5,"$12,326 "
Skoda Rapid 1.6 MPI Ambition,Coimbatore,2019,"21,214",Gasoline,Manual,First,15.41,1600,103.52,5,"$13,562 "
Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,"21,248",Diesel,Manual,First,24.30,1200,88.50,5,"$13,253 "
Maruti Omni 8 Seater BSIV,Hyderabad,2017,"21,260",Gasoline,Manual,First,14.00,800,35.00,5,"$4,071 "
Ford Mustang V8,Kochi,2018,"21,290",Gasoline,Automatic,First,13.00,4800,395.00,4,"$79,742 "
Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,2017,"21,363",Gasoline,Automatic,First,13.00,1600,121.30,5,"$18,939 "
Ford Figo Petrol Titanium,Kolkata,2015,"21,400",Gasoline,Manual,First,15.60,1200,70.00,5,"$5,616 "
Hyundai i10 Sportz,Kochi,2016,"21,456",Gasoline,Manual,First,20.36,1200,78.90,5,"$6,388 "
Ford EcoSport 1.5 Petrol Trend,Kolkata,2016,"21,460",Gasoline,Manual,First,17.00,1400,121.36,5,"$8,423 "
Skoda Rapid 1.6 MPI AT Style,Kochi,2018,"21,488",Gasoline,Automatic,First,14.30,1600,103.52,5,"$13,646 "
Hyundai Xcent 1.2 Kappa S Option,Coimbatore,2016,"21,495",Gasoline,Manual,First,19.10,1200,81.86,5,"$8,648 "
Maruti Vitara Brezza ZDi,Pune,2016,"21,558",Diesel,Manual,First,24.30,1200,88.50,5,"$12,495 "
Maruti Celerio VXI AT,Hyderabad,2016,"21,600",Gasoline,Automatic,First,23.10,1000,67.04,5,"$6,528 "
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Kochi,2018,"21,603",Diesel,Automatic,First,13.00,3000,265.00,5,"$98,484 "
Maruti Alto 800 LXI,Kochi,2015,"21,652",Gasoline,Manual,First,22.74,800,47.30,5,"$4,226 "
Maruti Baleno Delta Automatic,Kochi,2018,"21,684",Gasoline,Automatic,First,21.40,1200,83.10,5,"$11,077 "
Maruti Celerio ZXI,Delhi,2014,"21,701",Gasoline,Manual,First,23.10,1000,67.04,5,"$4,745 "
Toyota Fortuner 2.8 2WD AT,Kochi,2019,"21,719",Diesel,Automatic,First,12.90,2800,174.50,7,"$46,511 "
Ford Figo Petrol ZXI,Pune,2014,"21,727",Gasoline,Manual,First,15.60,1200,70.02,5,"$4,703 "
Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,"21,740",Gasoline,Manual,First,18.16,1200,86.80,5,"$9,013 "
Honda Jazz 1.2 S i VTEC,Kolkata,2016,"21,771",Gasoline,Manual,First,18.70,1200,88.70,5,"$6,949 "
Maruti Vitara Brezza ZDi,Coimbatore,2017,"21,789",Diesel,Manual,First,24.30,1200,88.50,5,"$13,871 "
Maruti Celerio ZXI MT,Kochi,2017,"21,799",Gasoline,Manual,First,23.10,1000,67.04,5,"$7,174 "
Ford EcoSport 1.5 Petrol Titanium,Hyderabad,2017,"21,800",Gasoline,Manual,First,17.00,1400,121.36,5,"$12,284 "
BMW 3 Series Luxury Line,Kochi,2018,"21,936",Diesel,Automatic,First,21.76,2000,190.00,5,"$53,236 "
Renault KWID RXT Optional,Kochi,2017,"21,954",Gasoline,Manual,First,25.17,800,53.30,5,"$5,194 "
Audi A4 2.0 TDI Premium Sport Limited Edition,Coimbatore,2015,"21,979",Diesel,Automatic,First,17.11,2000,174.33,5,"$32,922 "
BMW 3 Series 320d Sport Line,Kolkata,2013,"21,983",Diesel,Automatic,First,18.88,2000,184.00,5,"$23,164 "
Ford Figo Diesel ZXI,Kolkata,2013,"22,000",Diesel,Manual,First,20.00,1400,68.00,5,"$3,159 "
Hyundai EON Era Plus,Pune,2013,"22,000",Gasoline,Manual,First,21.10,800,55.20,5,"$3,650 "
Maruti Wagon R VXI,Delhi,2016,"22,000",Gasoline,Manual,First,18.90,1000,67.10,5,"$5,194 "
Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,"22,000",Gasoline,Manual,First,16.47,1200,74.00,5,"$5,335 "
Honda Brio 1.2 S MT,Mumbai,2015,"22,000",Gasoline,Manual,First,18.50,1200,86.80,5,"$5,545 "
Volkswagen Polo 1.2 MPI Highline,Kolkata,2014,"22,000",Gasoline,Manual,First,16.47,1200,74.00,5,"$5,770 "
Hyundai Grand i10 Magna,Jaipur,2016,"22,000",Gasoline,Manual,First,18.90,1200,82.00,5,"$5,967 "
Maruti Swift Dzire VDI,Kolkata,2013,"22,000",Diesel,Manual,First,23.40,1200,74.00,5,"$6,318 "
Volkswagen Polo 1.2 MPI Highline,Mumbai,2015,"22,000",Gasoline,Manual,First,16.47,1200,74.00,5,"$6,669 "
Tata Tiago 1.2 Revotron XZ,Hyderabad,2017,"22,000",Gasoline,Manual,First,23.84,1200,84.00,5,"$6,739 "
